Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
takeScreenshot,Chrome 63.0.3239.132,,2018-02-13 14:24:04,2018-02-13 14:24:04,0.416s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-13 14:24:04,2018-02-13 14:24:04,0.098s,PASSED
,,,,,,
Test Cases/POTW - Landing Pages - Step 5 - 0 Active Payment and Other Payment landing page,Chrome 63.0.3239.132,WHEN I log in to POTW\nAND my school has 0 Active Payment Request and at least 1 of these payment requests:\n- Future\n- Expired\n- Cancelled\nTHEN i will be on the Future/Expired/Cancelled payment request landing page\nAND I will see the options for the other payment request types\nAND I will not see the menu for Active Payment requests\nAND the payment request is not shown in School Gateway,2018-02-13 14:24:04,2018-02-13 14:24:13,8.532s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-13 14:24:04,2018-02-13 14:24:05,1.076s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-13 14:24:05,2018-02-13 14:24:07,1.597s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:24:07,2018-02-13 14:24:07,0.192s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:24:07,2018-02-13 14:24:07,0.185s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:24:07,2018-02-13 14:24:07,0.152s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:24:07,2018-02-13 14:24:08,0.928s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 63.0.3239.132,,2018-02-13 14:24:08,2018-02-13 14:24:08,0.021s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-02-13 14:24:08,2018-02-13 14:24:08,0.002s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-02-13 14:24:08,2018-02-13 14:24:09,0.405s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-13 14:24:09,2018-02-13 14:24:10,0.776s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:24:10,2018-02-13 14:24:10,0.243s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 14:24:10,2018-02-13 14:24:10,0.149s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:24:10,2018-02-13 14:24:12,1.847s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 14:24:12,2018-02-13 14:24:12,0.441s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-02-13 14:24:12,2018-02-13 14:24:13,0.276s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-13 14:24:13,2018-02-13 14:24:13,0.108s,PASSED
