Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Release Checks,Chrome 64.0.3282.140,,2018-02-12 16:40:37,2018-02-12 16:42:48,2m - 10.569s,PASSED
,,,,,,
Test Cases/HTTPS Redirect - Not Logged In - LIVE,Chrome 64.0.3282.140,,2018-02-12 16:40:39,2018-02-12 16:41:04,25.118s,PASSED
openBrowser,Chrome 64.0.3282.140,,2018-02-12 16:40:40,2018-02-12 16:40:57,16.716s,PASSED
navigateToUrl,Chrome 64.0.3282.140,,2018-02-12 16:40:57,2018-02-12 16:41:02,4.974s,PASSED
waitForPageLoad,Chrome 64.0.3282.140,,2018-02-12 16:41:02,2018-02-12 16:41:03,1.020s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 64.0.3282.140,,2018-02-12 16:41:03,2018-02-12 16:41:03,0.272s,PASSED
verifyEqual,Chrome 64.0.3282.140,,2018-02-12 16:41:03,2018-02-12 16:41:03,0.044s,PASSED
closeBrowser,Chrome 64.0.3282.140,,2018-02-12 16:41:03,2018-02-12 16:41:04,1.158s,PASSED
,,,,,,
Test Cases/Step 2 - POTW - HTTPS Redirect - Logged In - Labs,Chrome 64.0.3282.140,GIVEN I have logged on to the application I am testing \nWHEN I navigate to another OTW application using http rather than https in the URL e.g. http://labs.schoolcomms.com/payments\nTHEN I am unable to access the screen using HTTP \nAND I am redirected to the same URL on HTTPS e.g https://labs.schoolcomms.com/payments,2018-02-12 16:41:05,2018-02-12 16:41:36,31.682s,PASSED
openBrowser,Chrome 64.0.3282.140,,2018-02-12 16:41:05,2018-02-12 16:41:13,7.491s,PASSED
navigateToUrl,Chrome 64.0.3282.140,,2018-02-12 16:41:13,2018-02-12 16:41:14,1.003s,PASSED
doubleClick,Chrome 64.0.3282.140,,2018-02-12 16:41:14,2018-02-12 16:41:14,0.412s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:41:14,2018-02-12 16:41:15,0.468s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:41:15,2018-02-12 16:41:15,0.429s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:41:15,2018-02-12 16:41:15,0.265s,PASSED
click,Chrome 64.0.3282.140,,2018-02-12 16:41:15,2018-02-12 16:41:19,4.005s,PASSED
navigateToUrl,Chrome 64.0.3282.140,,2018-02-12 16:41:19,2018-02-12 16:41:26,6.732s,PASSED
waitForPageLoad,Chrome 64.0.3282.140,,2018-02-12 16:41:26,2018-02-12 16:41:30,3.631s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 64.0.3282.140,,2018-02-12 16:41:30,2018-02-12 16:41:30,0.097s,PASSED
verifyEqual,Chrome 64.0.3282.140,,2018-02-12 16:41:30,2018-02-12 16:41:30,0.003s,PASSED
closeBrowser,Chrome 64.0.3282.140,,2018-02-12 16:41:30,2018-02-12 16:41:36,6.479s,PASSED
,,,,,,
Test Cases/Error Page,Chrome 64.0.3282.140,This confirms that the error pages are functioning correctly,2018-02-12 16:41:36,2018-02-12 16:41:45,8.380s,PASSED
openBrowser,Chrome 64.0.3282.140,,2018-02-12 16:41:37,2018-02-12 16:41:42,4.621s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:41:42,2018-02-12 16:41:42,0.320s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:41:42,2018-02-12 16:41:42,0.216s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:41:42,2018-02-12 16:41:42,0.340s,PASSED
click,Chrome 64.0.3282.140,,2018-02-12 16:41:42,2018-02-12 16:41:44,1.749s,PASSED
takeScreenshot,Chrome 64.0.3282.140,,2018-02-12 16:41:44,2018-02-12 16:41:45,0.510s,PASSED
getUrl,Chrome 64.0.3282.140,,2018-02-12 16:41:45,2018-02-12 16:41:45,0.019s,PASSED
,,,,,,
Test Cases/Step 1 - POTW - HTTPS Redirect - Not Logged In - Labs,Chrome 64.0.3282.140,,2018-02-12 16:41:45,2018-02-12 16:42:10,25.499s,PASSED
openBrowser,Chrome 64.0.3282.140,,2018-02-12 16:41:45,2018-02-12 16:41:53,7.935s,PASSED
navigateToUrl,Chrome 64.0.3282.140,,2018-02-12 16:41:53,2018-02-12 16:42:05,11.782s,PASSED
waitForPageLoad,Chrome 64.0.3282.140,,2018-02-12 16:42:05,2018-02-12 16:42:05,0.040s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 64.0.3282.140,,2018-02-12 16:42:05,2018-02-12 16:42:05,0.022s,PASSED
verifyEqual,Chrome 64.0.3282.140,,2018-02-12 16:42:05,2018-02-12 16:42:05,0.006s,PASSED
closeBrowser,Chrome 64.0.3282.140,,2018-02-12 16:42:05,2018-02-12 16:42:10,5.131s,PASSED
,,,,,,
Test Cases/Remember Me,Chrome 64.0.3282.140,This test determines the 'remember me' button is working as expected on the Log in screen,2018-02-12 16:42:10,2018-02-12 16:42:31,20.396s,PASSED
openBrowser,Chrome 64.0.3282.140,,2018-02-12 16:42:11,2018-02-12 16:42:21,10.089s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:42:21,2018-02-12 16:42:22,0.657s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:42:22,2018-02-12 16:42:22,0.244s,PASSED
setText,Chrome 64.0.3282.140,,2018-02-12 16:42:22,2018-02-12 16:42:22,0.248s,PASSED
click,Chrome 64.0.3282.140,,2018-02-12 16:42:22,2018-02-12 16:42:26,3.195s,PASSED
click,Chrome 64.0.3282.140,,2018-02-12 16:42:26,2018-02-12 16:42:26,0.214s,PASSED
delay,Chrome 64.0.3282.140,,2018-02-12 16:42:26,2018-02-12 16:42:27,1.029s,PASSED
click,Chrome 64.0.3282.140,,2018-02-12 16:42:27,2018-02-12 16:42:27,0.358s,PASSED
verifyElementAttributeValue,Chrome 64.0.3282.140,,2018-02-12 16:42:27,2018-02-12 16:42:27,0.128s,PASSED
