Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Release Checks,Firefox 58.0,,2018-02-06 11:18:34,2018-02-06 11:20:01,1m - 26.784s,PASSED
,,,,,,
Test Cases/HTTPS Redirect - Not Logged In - LIVE,Firefox 58.0,,2018-02-06 11:18:35,2018-02-06 11:18:51,16.064s,PASSED
openBrowser,Firefox 58.0,,2018-02-06 11:18:36,2018-02-06 11:18:48,12.365s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-06 11:18:48,2018-02-06 11:18:50,1.499s,PASSED
waitForPageLoad,Firefox 58.0,,2018-02-06 11:18:50,2018-02-06 11:18:50,0.156s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Firefox 58.0,,2018-02-06 11:18:50,2018-02-06 11:18:50,0.038s,PASSED
verifyEqual,Firefox 58.0,,2018-02-06 11:18:50,2018-02-06 11:18:50,0.072s,PASSED
closeBrowser,Firefox 58.0,,2018-02-06 11:18:50,2018-02-06 11:18:51,0.705s,PASSED
,,,,,,
Test Cases/HTTPS Redirect - Logged In - Labs,Firefox 58.0,GIVEN I have logged on to the application I am testing \nWHEN I navigate to another OTW application using http rather than https in the URL e.g. http://labs.schoolcomms.com/payments\nTHEN I am unable to access the screen using HTTP \nAND I am redirected to the same URL on HTTPS e.g https://labs.schoolcomms.com/payments,2018-02-06 11:18:51,2018-02-06 11:19:09,17.895s,PASSED
openBrowser,Firefox 58.0,,2018-02-06 11:18:52,2018-02-06 11:18:58,5.453s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-06 11:18:58,2018-02-06 11:18:59,1.214s,PASSED
doubleClick,Firefox 58.0,,2018-02-06 11:18:59,2018-02-06 11:18:59,0.410s,PASSED
setText,Firefox 58.0,,2018-02-06 11:18:59,2018-02-06 11:18:59,0.157s,PASSED
setText,Firefox 58.0,,2018-02-06 11:18:59,2018-02-06 11:18:59,0.087s,PASSED
setText,Firefox 58.0,,2018-02-06 11:18:59,2018-02-06 11:18:59,0.068s,PASSED
click,Firefox 58.0,,2018-02-06 11:18:59,2018-02-06 11:19:05,5.863s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-06 11:19:05,2018-02-06 11:19:08,2.266s,PASSED
waitForPageLoad,Firefox 58.0,,2018-02-06 11:19:08,2018-02-06 11:19:08,0.338s,PASSED
