Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Release Checks,Chrome 63.0.3239.132,,2018-02-13 15:21:26,2018-02-13 15:22:26,59.784s,FAILED
,,,,,,
Test Cases/OTW - Step 1 - Error Page,Chrome 63.0.3239.132,This confirms that the error pages are functioning correctly,2018-02-13 15:21:27,2018-02-13 15:21:34,7.727s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-13 15:21:27,2018-02-13 15:21:32,4.987s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 15:21:32,2018-02-13 15:21:33,0.400s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 15:21:33,2018-02-13 15:21:33,0.235s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-13 15:21:33,2018-02-13 15:21:33,0.228s,PASSED
click,Chrome 63.0.3239.132,,2018-02-13 15:21:33,2018-02-13 15:21:34,0.658s,PASSED
takeScreenshot,Chrome 63.0.3239.132,,2018-02-13 15:21:34,2018-02-13 15:21:34,0.612s,PASSED
getUrl,Chrome 63.0.3239.132,,2018-02-13 15:21:34,2018-02-13 15:21:34,0.034s,PASSED
,,,,,,
Test Cases/OTW - HTTPS Redirect - Step 1- Not Logged In - Labs,Chrome 63.0.3239.132,,2018-02-13 15:21:34,2018-02-13 15:21:41,6.974s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-13 15:21:35,2018-02-13 15:21:38,3.092s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-13 15:21:38,2018-02-13 15:21:41,3.365s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-02-13 15:21:41,2018-02-13 15:21:41,0.063s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 63.0.3239.132,,2018-02-13 15:21:41,2018-02-13 15:21:41,0.015s,PASSED
verifyEqual,Chrome 63.0.3239.132,,2018-02-13 15:21:41,2018-02-13 15:21:41,0.027s,PASSED
