Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Release Checks,Firefox 58.0,,2018-02-13 15:19:45,2018-02-13 15:21:20,1m - 35.582s,PASSED
,,,,,,
Test Cases/OTW - Step 1 - Error Page,Firefox 58.0,This confirms that the error pages are functioning correctly,2018-02-13 15:19:46,2018-02-13 15:19:56,10.238s,PASSED
openBrowser,Firefox 58.0,,2018-02-13 15:19:46,2018-02-13 15:19:54,7.757s,PASSED
setText,Firefox 58.0,,2018-02-13 15:19:54,2018-02-13 15:19:54,0.267s,PASSED
setText,Firefox 58.0,,2018-02-13 15:19:54,2018-02-13 15:19:54,0.074s,PASSED
setText,Firefox 58.0,,2018-02-13 15:19:54,2018-02-13 15:19:54,0.084s,PASSED
click,Firefox 58.0,,2018-02-13 15:19:54,2018-02-13 15:19:55,1.113s,PASSED
takeScreenshot,Firefox 58.0,,2018-02-13 15:19:55,2018-02-13 15:19:56,0.298s,PASSED
getUrl,Firefox 58.0,,2018-02-13 15:19:56,2018-02-13 15:19:56,0.023s,PASSED
,,,,,,
Test Cases/OTW - HTTPS Redirect - Step 1- Not Logged In - Labs,Firefox 58.0,,2018-02-13 15:19:56,2018-02-13 15:20:11,15.252s,PASSED
openBrowser,Firefox 58.0,,2018-02-13 15:19:56,2018-02-13 15:20:04,8.383s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-13 15:20:04,2018-02-13 15:20:11,6.143s,PASSED
waitForPageLoad,Firefox 58.0,,2018-02-13 15:20:11,2018-02-13 15:20:11,0.065s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Firefox 58.0,,2018-02-13 15:20:11,2018-02-13 15:20:11,0.008s,PASSED
verifyEqual,Firefox 58.0,,2018-02-13 15:20:11,2018-02-13 15:20:11,0.019s,PASSED
closeBrowser,Firefox 58.0,,2018-02-13 15:20:11,2018-02-13 15:20:11,0.282s,PASSED
,,,,,,
Test Cases/OTW - HTTPS Redirect - Step 2- Logged In - Labs,Firefox 58.0,GIVEN I have logged on to the application I am testing \nWHEN I navigate to another OTW application using http rather than https in the URL e.g. http://labs.schoolcomms.com/payments\nTHEN I am unable to access the screen using HTTP \nAND I am redirected to the same URL on HTTPS e.g https://labs.schoolcomms.com/payments,2018-02-13 15:20:11,2018-02-13 15:20:24,13.090s,PASSED
openBrowser,Firefox 58.0,,2018-02-13 15:20:11,2018-02-13 15:20:15,4.185s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-13 15:20:15,2018-02-13 15:20:16,0.987s,PASSED
doubleClick,Firefox 58.0,,2018-02-13 15:20:16,2018-02-13 15:20:17,0.274s,PASSED
setText,Firefox 58.0,,2018-02-13 15:20:17,2018-02-13 15:20:17,0.093s,PASSED
setText,Firefox 58.0,,2018-02-13 15:20:17,2018-02-13 15:20:17,0.073s,PASSED
setText,Firefox 58.0,,2018-02-13 15:20:17,2018-02-13 15:20:17,0.062s,PASSED
click,Firefox 58.0,,2018-02-13 15:20:17,2018-02-13 15:20:22,5.245s,PASSED
navigateToUrl,Firefox 58.0,,2018-02-13 15:20:22,2018-02-13 15:20:24,1.561s,PASSED
waitForPageLoad,Firefox 58.0,,2018-02-13 15:20:24,2018-02-13 15:20:24,0.020s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Firefox 58.0,,2018-02-13 15:20:24,2018-02-13 15:20:24,0.012s,PASSED
verifyEqual,Firefox 58.0,,2018-02-13 15:20:24,2018-02-13 15:20:24,0.002s,PASSED
