Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Release Checks,Firefox 52.0,,2018-02-12 16:40:37,2018-02-12 16:44:12,3m - 34.158s,PASSED
,,,,,,
Test Cases/HTTPS Redirect - Not Logged In - LIVE,Firefox 52.0,,2018-02-12 16:40:40,2018-02-12 16:41:33,53.105s,PASSED
openBrowser,Firefox 52.0,,2018-02-12 16:40:40,2018-02-12 16:41:27,46.038s,PASSED
navigateToUrl,Firefox 52.0,,2018-02-12 16:41:27,2018-02-12 16:41:31,4.146s,PASSED
waitForPageLoad,Firefox 52.0,,2018-02-12 16:41:31,2018-02-12 16:41:31,0.504s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Firefox 52.0,,2018-02-12 16:41:31,2018-02-12 16:41:31,0.255s,PASSED
verifyEqual,Firefox 52.0,,2018-02-12 16:41:31,2018-02-12 16:41:31,0.047s,PASSED
closeBrowser,Firefox 52.0,,2018-02-12 16:41:31,2018-02-12 16:41:33,1.109s,PASSED
,,,,,,
Test Cases/Step 2 - POTW - HTTPS Redirect - Logged In - Labs,Firefox 52.0,GIVEN I have logged on to the application I am testing \nWHEN I navigate to another OTW application using http rather than https in the URL e.g. http://labs.schoolcomms.com/payments\nTHEN I am unable to access the screen using HTTP \nAND I am redirected to the same URL on HTTPS e.g https://labs.schoolcomms.com/payments,2018-02-12 16:41:33,2018-02-12 16:42:26,53.228s,PASSED
openBrowser,Firefox 52.0,,2018-02-12 16:41:34,2018-02-12 16:42:01,27.253s,PASSED
navigateToUrl,Firefox 52.0,,2018-02-12 16:42:01,2018-02-12 16:42:03,1.918s,PASSED
doubleClick,Firefox 52.0,,2018-02-12 16:42:03,2018-02-12 16:42:06,2.487s,PASSED
setText,Firefox 52.0,,2018-02-12 16:42:06,2018-02-12 16:42:06,0.587s,PASSED
setText,Firefox 52.0,,2018-02-12 16:42:06,2018-02-12 16:42:07,0.783s,PASSED
setText,Firefox 52.0,,2018-02-12 16:42:07,2018-02-12 16:42:07,0.378s,PASSED
click,Firefox 52.0,,2018-02-12 16:42:07,2018-02-12 16:42:18,10.752s,PASSED
navigateToUrl,Firefox 52.0,,2018-02-12 16:42:18,2018-02-12 16:42:24,5.635s,PASSED
waitForPageLoad,Firefox 52.0,,2018-02-12 16:42:24,2018-02-12 16:42:24,0.407s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Firefox 52.0,,2018-02-12 16:42:24,2018-02-12 16:42:24,0.234s,PASSED
verifyEqual,Firefox 52.0,,2018-02-12 16:42:24,2018-02-12 16:42:24,0.005s,PASSED
closeBrowser,Firefox 52.0,,2018-02-12 16:42:24,2018-02-12 16:42:26,1.571s,PASSED
,,,,,,
Test Cases/Error Page,Firefox 52.0,This confirms that the error pages are functioning correctly,2018-02-12 16:42:26,2018-02-12 16:42:55,29.135s,PASSED
openBrowser,Firefox 52.0,,2018-02-12 16:42:27,2018-02-12 16:42:50,23.601s,PASSED
setText,Firefox 52.0,,2018-02-12 16:42:50,2018-02-12 16:42:51,0.746s,PASSED
setText,Firefox 52.0,,2018-02-12 16:42:51,2018-02-12 16:42:52,0.666s,PASSED
